name,latitude,longitude,location_name,type,source,distance_to_nearest_conflict_km,risk_status
Ecole primaire Kabikioni,-6.2409444,23.7490278,,School,DRC_All_SCHool_Local,19.33049360721915,safe
École primaire Sankayi,-6.2255,23.7522222,,School,DRC_All_SCHool_Local,18.805635344387397,safe
Ecole primaire Ndoba,-6.1626111,23.7099444,,School,DRC_All_SCHool_Local,12.235380319606655,safe
Ecole primaire Binkunga,-5.6319444,22.2572222,,School,DRC_All_SCHool_Local,14.708735156099312,safe
École primaire Dibanda 1,-5.6291268,22.8957458,,School,DRC_All_SCHool_Local,16.887591502979348,safe
Ecole primaire Banongo,-5.9430556,21.6438889,,School,DRC_All_SCHool_Local,16.046655947684993,safe
Ecole primaire Kanongo,-5.7341667,21.4866944,,School,DRC_All_SCHool_Local,16.810937107377775,safe
Ecole primaire Mimuemue,-5.7622222,22.361,,School,DRC_All_SCHool_Local,15.449107074608868,safe
Ecole primaire Lutshiatshia,-5.6591667,22.3245556,,School,DRC_All_SCHool_Local,18.822331235319652,safe
Ecole primaire Dibandisha,-5.2744444,22.8641667,,School,DRC_All_SCHool_Local,12.738860063420011,safe
Ecole primaire Tshibala 1,-5.72,22.1347222,,School,DRC_All_SCHool_Local,26.086944776648192,safe
École primaire Kaffubi,-5.7602778,22.7177778,,School,DRC_All_SCHool_Local,12.02631239411921,safe
Ecole primaire Butumbi,-5.3247222,22.4689444,,School,DRC_All_SCHool_Local,29.686004306600132,safe
École primaire Bunkonde 2,-5.1558333,22.5202778,,School,DRC_All_SCHool_Local,38.36745480818583,safe
Ecole primaire Benaleka 2,-5.3361111,22.5627778,,School,DRC_All_SCHool_Local,32.60410372440828,safe
Ecole primaire Tshibala 2,-5.1375,22.7075028,,School,DRC_All_SCHool_Local,18.54044355762495,safe
Ecole primaire Benaleka 1,-5.6669444,22.393,,School,DRC_All_SCHool_Local,23.239304150583134,safe
Ecole primaire Mboie,-5.2022222,22.3897222,,School,DRC_All_SCHool_Local,25.862248461789203,safe
École primaire Kempa 1,-5.175,22.3027778,,School,DRC_All_SCHool_Local,15.769609763685702,safe
Ecole primaire Luemba,-5.4994444,22.5013889,,School,DRC_All_SCHool_Local,25.979811179618775,safe
École primaire Budimu,-5.6677778,22.6738889,,School,DRC_All_SCHool_Local,16.00757896674742,safe
École primaire Mfuki,-5.0244424,22.1511131,,School,DRC_All_SCHool_Local,10.647508192367468,safe
Ecole primaire Tshikunda,-5.6388889,22.1708333,,School,DRC_All_SCHool_Local,18.734848370249637,safe
Ecole primaire Kunduyi,-5.4147222,22.1341667,,School,DRC_All_SCHool_Local,17.464979428917303,safe
Ecole primaire Shandi Na Bana,-8.2094444,26.9315,,School,DRC_All_SCHool_Local,12.175473299926795,safe
École primaire Nsumba Lulu,-8.9469444,26.3663889,,School,DRC_All_SCHool_Local,30.63449577605478,safe
École primaire Lumière du Christ,-8.9125,26.3977778,,School,DRC_All_SCHool_Local,25.71028649590465,safe
Ecole primaire Butwile Mwanya,-8.4016331,26.8515589,,School,DRC_All_SCHool_Local,26.365985206223797,safe
École primaire Tambo 1,-8.2316667,26.8561111,,School,DRC_All_SCHool_Local,20.800812193212035,safe
École primaire Dyese 5,-7.8290583,26.9883111,,School,DRC_All_SCHool_Local,28.3340506393869,safe
Ecole primaire Kakonga,-8.9141667,26.3941667,,School,DRC_All_SCHool_Local,26.038635689428997,safe
École primaire Songa,-8.1116667,25.0266667,,School,DRC_All_SCHool_Local,51.097186354741694,safe
École primaire Mulongo Kala,-7.8321278,26.9984583,,School,DRC_All_SCHool_Local,29.281816772832297,safe
Ecole primaire Walilando,-8.6889444,27.4885556,,School,DRC_All_SCHool_Local,17.603700392861196,safe
École primaire Matumayini,-9.4285,25.7909167,,School,DRC_All_SCHool_Local,26.22212103520343,safe
Ecole primaire Kaniema Mbidi,-8.8947222,25.3169444,,School,DRC_All_SCHool_Local,41.65091917946574,safe
École primaire Kitenge 2,-8.2227778,26.9183333,,School,DRC_All_SCHool_Local,14.111096464307185,safe
Ecole primaire Kilumbe Lamu,-8.5788889,26.5265556,,School,DRC_All_SCHool_Local,14.0537614410286,safe
Ecole primaire Katala I,-8.9024722,26.4736389,,School,DRC_All_SCHool_Local,22.585551050545398,safe
Ecole primaire Mukuba 2,-8.4688889,26.7472222,,School,DRC_All_SCHool_Local,12.668533879694172,safe
École primaire Matayarisho,-7.8288556,26.9883111,,School,DRC_All_SCHool_Local,28.341589282584287,safe
École primaire Ustawi,-8.2241667,26.9355556,,School,DRC_All_SCHool_Local,12.517389599058854,safe
École primaire Maendeleo,-9.4323333,25.7902778,,School,DRC_All_SCHool_Local,26.65248191161023,safe
École primaire Kiya I,-7.8233225,27.0163416,,School,DRC_All_SCHool_Local,29.747087916667567,safe
École primaire Kabanga,-8.9327778,26.4152778,,School,DRC_All_SCHool_Local,27.154735017332108,safe
Ecole primaire Mpumba,-8.4963889,26.7483333,,School,DRC_All_SCHool_Local,11.4413246099068,safe
École primaire Mwilambwe,-8.1120833,25.0303611,,School,DRC_All_SCHool_Local,50.91053698070495,safe
Ecole primaire Katyi Kala,-8.5605278,26.5481667,,School,DRC_All_SCHool_Local,11.700858607324076,safe
École primaire Kyabuntu,-9.2913661,25.8032506,,School,DRC_All_SCHool_Local,11.381523397155547,safe
Ecole primaire Luvua,-7.9116667,25.2188889,,School,DRC_All_SCHool_Local,70.05379947559042,safe
Ecole primaire Pamba Mukanda,-8.2219444,26.9288889,,School,DRC_All_SCHool_Local,13.035229463073678,safe
Ecole primaire Mulembu,-8.5919444,26.5203056,,School,DRC_All_SCHool_Local,12.468559623841314,safe
Ecole primaire Kilumbe Lamu,-8.5686111,26.5330556,,School,DRC_All_SCHool_Local,13.556923864935158,safe
École primaire Mutubuyi,-7.836975,26.9797111,,School,DRC_All_SCHool_Local,27.151874439064045,safe
École primaire Nkubo,-8.2183333,26.9188889,,School,DRC_All_SCHool_Local,13.844058530752342,safe
Ecole primaire Tambo 2,-8.2196721,26.9240853,,School,DRC_All_SCHool_Local,13.3906608054128,safe
Ecole primaire Kamitoto,-8.2155556,26.9188889,,School,DRC_All_SCHool_Local,13.718803610199137,safe
Ecole primaire Zaire Kabungi,-8.8558017,26.3256814,,School,DRC_All_SCHool_Local,25.024036981085008,safe
Ecole primaire Ngala Ya Lwalala,-8.9069444,26.3866667,,School,DRC_All_SCHool_Local,25.660174980632746,safe
Ecole primaire Misanya,-8.4883333,26.7388889,,School,DRC_All_SCHool_Local,10.81759032250379,safe
Ecole primaire Ilunga Nyemba,-8.2272222,26.9183333,,School,DRC_All_SCHool_Local,14.336396873507741,safe
École primaire Katomabaswe,-7.836975,26.9869611,,School,DRC_All_SCHool_Local,27.910667149550978,safe
École primaire Kipukwe,-8.1052569,25.166144,,School,DRC_All_SCHool_Local,48.547822765256264,safe
École primaire Bukwashi,-7.8337806,27.0034417,,School,DRC_All_SCHool_Local,29.74816039493273,safe
École primaire Lufira,-8.4908333,26.735,,School,DRC_All_SCHool_Local,10.312270928633145,safe
École primaire Kazi,-8.5734167,26.5306667,,School,DRC_All_SCHool_Local,13.981654348209679,safe
Ecole primaire Kilumbe Katyi Kala,-8.5586111,26.5508889,,School,DRC_All_SCHool_Local,11.353197531506021,safe
Ecole primaire Butuy Shele,-8.4525,26.7858333,,School,DRC_All_SCHool_Local,17.24584635244533,safe
