name,latitude,longitude,location_name,type,source,distance_to_nearest_conflict_km,risk_status
Ecole primaire Kisima,-11.7016111,27.4505833,,School,DRC_All_SCHool_Local,4.262068473589719,at-risk
Ecole primaire Shindama,-10.9817778,26.7030556,,School,DRC_All_SCHool_Local,3.305326693437535,at-risk
École primaire Ubupalo,-11.6888889,27.4882222,,School,DRC_All_SCHool_Local,3.4080914651072565,at-risk
Ecole primaire Vangu I,-11.6754167,27.4943056,,School,DRC_All_SCHool_Local,3.1630790167076537,at-risk
Ecole primaire Bahati I,-10.9734167,26.711,,School,DRC_All_SCHool_Local,2.5940493689838244,at-risk
Ecole primaire Masikilizano,-11.6819722,27.4838889,,School,DRC_All_SCHool_Local,2.5324604615035433,at-risk
Ecole primaire Ushujaa II,-11.7007095,27.4795042,,School,DRC_All_SCHool_Local,4.035207608497602,at-risk
École primaire Kikwanda,-11.6238056,27.6410278,,School,DRC_All_SCHool_Local,6.2062662089196055,at-risk
Ecole primaire Vangu II,-11.7000145,27.4791508,,School,DRC_All_SCHool_Local,3.9493930687441523,at-risk
Ecole primaire Huruma,-10.9572778,26.727,,School,DRC_All_SCHool_Local,2.768741772717966,at-risk
Ecole primaire Kisaho,-11.7131389,27.4555,,School,DRC_All_SCHool_Local,5.308576717731788,at-risk
Ecole primaire Bilima,-10.9828056,26.7301944,,School,DRC_All_SCHool_Local,0.37708146812976545,at-risk
Ecole primaire Mavuno I,-10.9814722,26.7220556,,School,DRC_All_SCHool_Local,1.231062589102357,at-risk
Ecole primaire Kalubwe II,-11.6452778,27.4821944,,School,DRC_All_SCHool_Local,2.918219251305407,at-risk
École primaire Usamani,-11.0040556,26.7955,,School,DRC_All_SCHool_Local,7.238769934716721,at-risk
Ecole primaire Zamiri,-11.7038056,27.4875556,,School,DRC_All_SCHool_Local,4.714600137038922,at-risk
École primaire Nyota Ya Taifa,-11.6999167,27.4853889,,School,DRC_All_SCHool_Local,4.222009647775978,at-risk
EP Lisanga,0.0513948,18.2747803,,School,DRC_All_SCHool_Local,1.9229511267468482,at-risk
EP Nsongwatala,0.0105446,18.3166368,,School,DRC_All_SCHool_Local,8.355692699693146,at-risk
Ecole primaire Lolango,-0.0222222,18.2036111,,School,DRC_All_SCHool_Local,6.426456777059095,at-risk
EP2 Salongo,0.0311134,18.2752816,,School,DRC_All_SCHool_Local,4.067773880072844,at-risk
EP Bokombondji,0.045843,18.2654281,,School,DRC_All_SCHool_Local,2.319617447299772,at-risk
EP Ekofo,-0.0657524,18.169366,,School,DRC_All_SCHool_Local,0.31687792500625456,at-risk
Ecole primaire Papa Diangenda,0.0477778,18.2477778,,School,DRC_All_SCHool_Local,2.970389672041272,at-risk
Ecole primaire Maman Yanga,3.25725,19.7898611,,School,DRC_All_SCHool_Local,2.698157798227432,at-risk
École primaire Etoko,0.0102642,18.3274462,,School,DRC_All_SCHool_Local,9.220054432385062,at-risk
Ecole primaire Sembi,3.2409167,19.6926389,,School,DRC_All_SCHool_Local,8.280178893742201,at-risk
EP2 Mopepe,0.0344289,18.2505451,,School,DRC_All_SCHool_Local,4.007972569882088,at-risk
École primaire Nika,4.3482184,18.5932282,,School,DRC_All_SCHool_Local,0.7765169515180742,at-risk
Ecole primaire Bodigia,3.31875,19.8211389,,School,DRC_All_SCHool_Local,9.747179252222523,at-risk
Ecole primaire Ekof'ekema 1,0.0433333,18.2644444,,School,DRC_All_SCHool_Local,2.606332945611995,at-risk
Ecole primaire Eanga,-0.1255878,18.1370195,,School,DRC_All_SCHool_Local,7.334342155561062,at-risk
Ecole primaire Bayangene I,0.8763333,25.1919167,,School,DRC_All_SCHool_Local,6.435881982717878,at-risk
Ecole primaire Bayangene II,0.8794722,25.1928611,,School,DRC_All_SCHool_Local,6.071856919918095,at-risk
Institut Matanda,0.0947622,29.2848243,,School,DRC_All_SCHool_Local,2.1779878733166966,at-risk
