name,latitude,longitude,location_name,type,source
Ecole primaire Kipopo,-11.5484167,27.3265556,,School,DRC_All_SCHool_Local
Ecole primaire Shindama,-10.9817778,26.7030556,,School,DRC_All_SCHool_Local
Ecole primaire Lubusha,-11.1806389,27.0126667,,School,DRC_All_SCHool_Local
École primaire Luboto 1,-12.0821111,27.5125556,,School,DRC_All_SCHool_Local
École primaire Ubupalo,-11.6888889,27.4882222,,School,DRC_All_SCHool_Local
Ecole primaire Vangu I,-11.6754167,27.4943056,,School,DRC_All_SCHool_Local
Ecole primaire Imani,-10.7793056,25.7076667,,School,DRC_All_SCHool_Local
Ecole primaire Bahati I,-10.9734167,26.711,,School,DRC_All_SCHool_Local
Ecole primaire Masikilizano,-11.6819722,27.4838889,,School,DRC_All_SCHool_Local
Ecole primaire Ushujaa II,-11.7007095,27.4795042,,School,DRC_All_SCHool_Local
Ecole primaire Mwana Kulema,-11.0445278,26.9541389,,School,DRC_All_SCHool_Local
École primaire Kikwanda,-11.6238056,27.6410278,,School,DRC_All_SCHool_Local
Ecole primaire Kazembe,-10.7249444,25.5620556,,School,DRC_All_SCHool_Local
Ecole primaire Katanga,-11.1247778,27.1006111,,School,DRC_All_SCHool_Local
Ecole primaire Vangu II,-11.7000145,27.4791508,,School,DRC_All_SCHool_Local
École primaire Mushima 1,-11.1600556,25.4511944,,School,DRC_All_SCHool_Local
Ecole primaire Huruma,-10.9572778,26.727,,School,DRC_All_SCHool_Local
Ecole primaire Kisaho,-11.7131389,27.4555,,School,DRC_All_SCHool_Local
Ecole primaire Kinandu,-11.7624722,27.361,,School,DRC_All_SCHool_Local
Ecole primaire Bilima,-10.9828056,26.7301944,,School,DRC_All_SCHool_Local
Ecole primaire Mavuno I,-10.9814722,26.7220556,,School,DRC_All_SCHool_Local
Ecole primaire Maranatha,-11.7370278,27.5639444,,School,DRC_All_SCHool_Local
Ecole primaire Kalubwe II,-11.6452778,27.4821944,,School,DRC_All_SCHool_Local
Ecole primaire Mwongo,-10.7811111,25.7453611,,School,DRC_All_SCHool_Local
École primaire Usamani,-11.0040556,26.7955,,School,DRC_All_SCHool_Local
Ecole primaire Zamiri,-11.7038056,27.4875556,,School,DRC_All_SCHool_Local
École primaire Nyota Ya Taifa,-11.6999167,27.4853889,,School,DRC_All_SCHool_Local
