osm_id,osm_type,latitude,longitude,FIXME,addr:city,addr:commune,addr:country,addr:county,addr:district,addr:full,addr:housename,addr:housenumber,addr:locality,addr:municipality,addr:parish,addr:postcode,addr:province,addr:quarter,addr:street,addr:subcounty,addr:subdistrict,addr:suburb,addr:village,addr:ward,alt_name,amenity,area,attribution,barrier,building,building:condition,building:floor,building:levels,building:material,building:min_level,cables,check:date,check_date,comment,contact:email,contact:facebook,contact:phone,contact:twitter,contact:website,date,denomination,description,education,email,fixme,frequency,grades,health_facility:CD,healthcare,height,id:uuid,is_in,is_in:admin_level4,is_in:admin_level6,is_in:admin_level7,is_in:admin_level8,is_in:educ_level6,is_in:health_level10,is_in:health_level6,is_in:health_level8,is_in:province,is_in:village,isced,isced:level,landuse,man_made,max_age,min_age,name,name:de,name:en,name:fr,name:hu,name:ln,note,note:de,office,official_name,old_name,opening_hours,operator,operator:type,osm_id,osm_type,phone,project:oif-dfen_carteinnov,religion,school,school:CD,school:boarding,school:gender,short_name,source,source:alt_name,source:date,source:geometry,source:geometry:date,source:name,source:outline,source:position,source:ref,source_date,source_ref,start_date,strapline,surface,survey,survey:date,survey_date,toilets,type,vaccination,wall,website,wheelchair,wikidata,wikimedia_commons,wikipedia
803232064,node,-4.4298913,15.3716211,,,,,,,,,,,,,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,primary school,,,,,,,,,,,,,,,,,,,,,,,,,,,Centre Scolare Pingu II,,,,,,,,,,,,,,803232064,node,,,,,,,,,MSF survey 2016,,,,,,,,,,,,,,,,,,,,,,,,,
803246740,node,-4.4316456,15.3672222,,,,,,,,,,,,,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,École,,,,,,,,,,,,,,803246740,node,,,,,,,,,MSF survey 2016,,,,,,,,,,,,,,,,,,,,,,,,,
803246748,node,-4.4319023,15.3678874,,,,,,,,,,,,,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,École,,,,,,,,,,,,,,803246748,node,,,,,,,,,MSF survey 2016,,,,,,,,,,,,,,,,,,,,,,,,,
803246752,node,-4.4330361,15.3664712,,,,,,,,,,,,,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,primaire et professionel,,,,,,,,,,,,,,,,,,,,,,,,,,,Complexe scolaire Mère Theresa Tito,,,,,,,,,,,,Église catholique,,803246752,node,,,,,,,,,MSF survey 2016,,,,,,,,,,,,,,,,,,,,,,,,,
803265122,node,-4.4351755,15.3663457,,,,,,,,,,,,,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complexe scolaire Bualu,,,,,,,,,,,,,,803265122,node,,,,,,,,,MSF survey 2016,,,,,,,,,,,,,,,,,,,,,,,,,
813748771,node,-4.3669125,15.3198048,,,,,,,,,,,,,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,École privé,,,,,,,,,,,,,,813748771,node,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
822140614,node,-4.4202186,15.3915973,,,,,,,,,,,,,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Institut Kisantu,,,,,,,,,,,,,,822140614,node,,,,,,,,,MSF survey 2016,,,,,,,,,,,,,,,,,,,,,,,,,
822140618,node,-4.4197512,15.3904829,,,,,,,,,,,,,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,École Toco 2,,,,,,,,,,,,,,822140618,node,,,,,,,,,MSF survey 2016,,,,,,,,,,,,,,,,,,,,,,,,,
829315038,node,-4.3685492,15.318766,,,,,,,,,,,,,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,École,,,,,,,,,,,,,,829315038,node,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
934813665,node,-5.8878442,22.4486644,,,,,,,,,,,,,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Collège Saint-Louis,,,,,,,,,,,,,,934813665,node,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
