name,latitude,longitude,risk_status,distance_km,nearest_conflict_type,nearest_conflict_date,osm_id
Ecole Bamoyo,-4.3327029,15.2515827,at-risk,6.63,Strategic development,2024-01-03,5185129479
Ecole Kilimani,-4.334716,15.2546754,at-risk,6.35,Strategic development,2024-01-03,5185129480
Ecole Technique,-4.3352431,15.2538846,at-risk,6.45,Strategic development,2024-01-03,5185129481
Ecole Loupio,-4.331204,15.2630028,at-risk,5.36,Strategic development,2024-01-03,5185129482
Ecole Chez Mickey,-4.3315644,15.2625636,at-risk,5.41,Strategic development,2024-01-03,5185129483
Joviemly High School,-4.3325369,15.2643699,at-risk,5.25,Strategic development,2024-01-03,5185129484
Ecole Saint-Georges,-4.3381148,15.267321,at-risk,5.14,Strategic development,2024-01-03,5194424338
Ecole Madame de Sévigné Maternelle,-4.3421562,15.2808573,at-risk,4.06,Strategic development,2024-01-03,5194466112
Ecole Non-conventionnelle Le Vallée,-4.3462634,15.2745047,at-risk,4.9,Strategic development,2024-01-03,5219801925
Ecole Bolingani,-4.3367659,15.2714103,at-risk,4.67,Strategic development,2024-01-03,5219810499
Ecole Catholique Sainte Famille,-4.3940265,15.3152686,at-risk,8.25,Strategic development,2024-01-03,5241592807
Complexe Scolaire Trésors,-4.3973052,15.3165668,at-risk,8.63,Strategic development,2024-01-03,5241592808
Complexe Scolaire Washington School,-4.3975459,15.3161806,at-risk,8.65,Strategic development,2024-01-03,5241592809
Complexe Scolaire Sacré Coeur,-4.4013434,15.3165615,at-risk,9.07,Strategic development,2024-01-03,5241592810
EP1 & 2 ITAV Saint Esprit,-4.4081388,15.3164488,at-risk,9.83,Strategic development,2024-01-03,5241592811
I.T.M. Kikeva,-4.4093074,15.3164005,at-risk,9.96,Strategic development,2024-01-03,5241592812
Ecole Anuarite,-4.3923042,15.3231999,at-risk,8.17,Strategic development,2024-01-03,5241628099
Lycée Technique et scientifique de Limete,-4.3504123,15.3398699,at-risk,4.73,Strategic development,2024-01-03,5263448468
EP1 Kingabwa,-4.3643302,15.3574061,at-risk,7.21,Strategic development,2024-01-03,5264013777
C.S. Petite Thérèse,-4.3456624,15.3322631,at-risk,3.77,Strategic development,2024-01-03,5266023718
Ecole BERE Limete,-4.3730381,15.3475785,at-risk,7.22,Strategic development,2024-01-03,5266864034
